Name,RouteID
Q6 - Q6 VEIRS MILL RD     (123),Q6v1
R1 - R1 RIGGS ROAD        (800),R1
R11 - R11 KENILWORTH AVENUE (36),R11
R12 - R12 KENILWORTH AVENUE (36),R12
R2 - R2 RIGGS ROAD        (800),R2
R2 - R2 RIGGS ROAD        (800),R2v1
R2 - R2 RIGGS ROAD        (800),R2v2
R3 - R3 GBLT- P G PLAZA(801),R3
R4 - R4 QUEENS CHAPEL RD  (802),R4
REX - REX RICH HWY EXPRESS(131),R99
S1 - S1 16TH ST-POT PARK  (109),S1
S1 - S1 16TH ST-POT PARK  (109),S1v1
S2 - S2 SIXTEENTH STREET  (108),S2
S2 - S2 SIXTEENTH STREET  (108),S2c3
S2 - S2 SIXTEENTH STREET  (108),S2c4
S2 - S2 SIXTEENTH STREET  (108),S2c5
S2 - S2 SIXTEENTH STREET  (108),S2cv1
S2 - S2 SIXTEENTH STREET  (108),S2cv3
S2 - S2 SIXTEENTH STREET  (108),S2v1
S2 - S2 SIXTEENTH STREET  (108),S2v2
S2 - S2 SIXTEENTH STREET  (108),S2v3
S2 - S2 SIXTEENTH STREET  (108),S2v5
S35 - S35 SOUSA MIDDLE SCH  (539),S35
S4 - S4 SIXTEENTH STREET  (108),S4
S41 - S41 PHELPS HIGH SCH(540),S41
S4 - S4 SIXTEENTH STREET  (108),S4c
S4 - S4 SIXTEENTH STREET  (108),S4cv1
S4 - S4 SIXTEENTH STREET  (108),S4v1
S80 - S80 SPRINGFIELD CIRC (TAGS)(6,S80
S9 - S9 16TH ST LIMITED(112),S9
S91 - S91 SPRINGFIELD CIRC (TAGS)(6,S91
T14 - T14 RI AVE-NEW CARR   (542),T14
T14 - T14 RI AVE-NEW CARR   (542),T14v1
T18 - T18 ANNAPOLIS ROAD    (9),T18
T18 - T18 ANNAPOLIS ROAD    (9),T18v1
T2 - T2 RIVER ROAD        (102),T2
U2 - U2 MINN AVE-ANAC     (134),U2
U4 - U4 SHER RD-RIV TERR  (78),U4
U4 - U4 SHER RD-RIV TERR  (78),U4c
